Taxa,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149,S150,S151,S152,S153,S154,S155,S156,S157,S158,S159,S160,S161,S162,S163,S164,S165,S166,S167,S168,S169,S170,S171,S172,S173,S174,S175,S176,S177,S178,S179,S180,S181,S182,S183,S184,S185,S186,S187,S188,S189,S190,S191,S192,S193,S194,S195,S196,S197,S198,S199,S200,S201,S202,S203,S204,S205,S206,S207,S208,S209,S210,S211,S212,S213,S214,S215,S216,S217,S218,S219,S220,S221,S222,S223,S224,S225,S226,S227,S228,S229,S230,S231,S232,S233,S234,S235,S236,S237,S238,S239,S240,S241,S242,S243,S244,S245,S246,S247,S248,S249,S250,S251,S252,S253,S254,S255,S256,S257,S258,S259,S260,S261,S262,S263,S264,S265,S266,S267,S268,S269,S270,S271,S272,S273,S274,S275,S276,S277,S278,S279,S280,S281,S282,S283,S284,S285,S286,S287,S288,S289,S290,S291,S292,S293,S294,S295,S296,S297,S298,S299,S300,S301,S302,S303,S304,S305,S306,S307,S308,S309,S310,S311,S312,S313,S314,S315,S316,S317,S318,S319,S320,S321,S322,S323,S324,S325,S326,S327,S328,S329,S330,S331,S332,S333,S334,S335,S336,S337,S338,S339,S340,S341,S342,S343,S344,S345,S346,S347,S348,S349,S350,S351,S352,S353,S354,S355,S356,S357,S358,S359,S360,S361,S362,S363,S364,S365,S366,S367,S368,S369,S370,S371,S372,S373,S374,S375,S376,S377,S378,S379,S380,S381,S382,S383,S384,S385,S386,S387,S388,S389,S390,S391,S392,S393,S394
Finegoldia,0,0,0,0,0,2,17,2,0,0,2,2,0,21,0,32,116,0,0,0,4,9,7,0,0,0,0,6,0,0,0,0,0,0,2,0,6,2,0,0,0,10,0,3,8,0,2,20,0,0,0,0,42,0,0,9,2,1,7,0,0,8,6,0,0,0,0,35,6,0,0,0,2,0,0,17,0,0,0,0,2,0,0,2,37,10,0,29,3,0,0,3,2,0,0,0,0,4,42,0,3,2,4,0,3,0,3,0,36,13,0,10,0,8,0,3,0,0,0,2,0,2,0,0,0,0,11,0,0,0,0,0,9,45,88,0,0,3,0,2,0,26,11,5,151,7,2,0,301,0,0,0,5,0,3,0,0,7,28,393,82,0,0,11,0,0,0,0,0,0,4,40,4,2,23,66,34,9,69,0,0,0,2,0,0,24,4,22,0,0,0,5,0,0,7,0,0,0,0,0,3,0,0,2,0,49,0,0,2,0,0,4,0,0,0,14,0,4,0,7,2,0,0,3,0,0,0,0,0,62,2,0,0,0,0,0,0,0,0,0,0,2,24,2,0,11,20,2,0,0,2,3,1,9,0,2,0,14,0,0,2,0,0,2,0,2,0,0,0,0,3,0,51,2,0,0,2,0,0,84,0,0,0,2,0,66,4,2,0,0,0,2,0,2,2,0,2,0,2,0,53,0,0,0,0,0,12,9,8,0,18,13,3,0,0,0,8,0,0,0,0,41,0,0,98,2,0,2,106,4,0,11,0,2,0,0,269,0,4,0,2,0,17,4,2,0,2,0,2,18,0,25,0,6,0,0,2,0,0,12,0,0,2,14,0,0,0,8,376,59,0,0,11,0,37,0,10,0,0,83,311,111,0,99,0,0,49,100,7,2,0,2,0,2
Aerococcus,0,0,0,0,51,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,101,0,0,0,0,0,0,18,2,0,0,0,0,12,6,0,10,4,22,0,2,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,26,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,32,0,17,14,0,0,0,116,0,0,0,0,27,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1004,15,0,0,0,0,0,0,4,0,0,0,13,0,23,8,0,0,80,0,0,0,258,111,0,0,148,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,126,0,2,0,0,0,0,0,0,0,10,11,7,0,0,0,0,11,0,0,4,0,0,0,43,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,29,3,92,0,7,2,0,0,2,0,0,0,2,21,0,0,0,2,2,0,0,0,2,0,2,0,0,2,3,33,0,0,0,2,0,0,0,1,9,0,2,0,0,0,22,0,4,0,5,0,0,0,0,0,5,50,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,19,0,0,0,5,128,109,0,2,0,0,8,7,0,0,2,15,14,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,4,0,0,0,111,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,0,0,0,0,0,164,0,0,0,0
Ureaplasma,0,0,0,0,0,5,8,4,0,5,0,0,5,0,10,0,0,0,0,0,0,101,10,0,5,0,0,0,12,0,4,0,0,0,0,0,0,7,0,5,5,127,0,6,2,7,2,4,4,4,0,0,0,11,0,0,0,1,0,0,0,0,0,7,0,2,0,0,0,0,0,6,3,16,10,0,7,2,0,0,0,0,0,3,4,0,0,32,0,0,8,0,66,2,0,34,3,0,37,7,0,0,0,31,0,3,0,0,8,0,0,0,0,13,5,0,0,0,0,0,17,0,0,3,0,0,6,23,82,0,5,0,0,0,0,15,0,0,11,0,15,4,4,0,0,115,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,5,0,0,3,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,4,16,0,13,240,0,28,0,0,0,2,0,2,0,100,0,0,0,2,0,6,2,0,0,0,0,0,2,0,26,7,6,2,0,0,13,2,2,2,0,11,5,0,0,0,4,0,0,0,0,2,0,2,0,0,0,10,0,0,8,17,6,10,5,6,0,0,0,2,0,0,16,0,0,0,0,4,0,12,0,6,0,7,0,0,0,2,0,0,0,4,0,0,0,540,0,7,0,0,7,9,2,0,0,1175,0,0,15,2,0,8,5,3,3,5,0,13,2,0,0,0,0,18,0,0,110,0,12,0,0,0,2,30,0,0,0,12,0,0,0,12,6,19,0,0,0,2,8,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,50,6,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,26
Parvimonas,0,0,0,0,48,0,4,76,0,0,0,79,0,0,0,0,0,0,0,0,0,0,365,0,10,0,0,0,0,32,17,0,0,0,0,0,0,11,19,0,0,0,0,25,17,0,0,0,3,0,17,0,8,0,0,0,0,0,0,0,1,2,0,18,0,0,0,0,0,42,0,6,20,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,40,0,0,49,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,74,0,0,0,0,0,0,50,12,4,32,36,11,38,0,0,0,82,0,0,0,0,95,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,59,154,0,2,35,0,0,0,0,6,0,26,37,0,111,0,0,0,42,0,0,0,0,0,0,13,0,0,37,0,0,0,0,0,0,6,0,0,0,0,2,14,0,0,0,0,2,0,0,0,3,2,2,0,0,10,0,0,0,0,0,0,0,0,0,40,2,0,22,0,31,0,0,0,9,0,29,2,4,16,0,43,0,2,0,26,0,23,0,0,0,0,0,0,0,20,29,100,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,72,0,2,15,27,15,102,0,0,0,0,19,79,0,0,0,2,36,4,119,40,12,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,541,2,0,0,14,0,0,4,0,0,0,0
Staphylococcus,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,4,0,0,2,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,4,5,0,2,0,0,0,0,0,2,0,0,0,7,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,3,0,5,0,0,2,0,0,0,0,10,0,0,6,0,0,0,2,0,0,5,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,102,0,2,0,71,1325,273,372,13,119,0,0,0,115,18,2,0,2,0,90,0,163,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,26,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,5,0,0,0,12,4,10,0,0,0,0,7,4,2,0,0,0,24,22,0,2,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,49,7,0,0,2,0,0,0,0,0,2,0,9,2,0,0,0,0,4,0,0,0,9,0,2,24
Corynebacterium,0,3,7,2,0,0,0,0,0,0,8,0,0,5,0,0,2,0,8,0,0,2,3,0,0,0,0,30,0,0,0,4,5,0,12,0,0,0,0,3,0,0,0,3,2,2,13,4,0,1,0,0,7,2,0,2,0,18,5,0,0,3,2,0,0,0,0,5,13,0,3,0,0,0,0,0,0,0,0,0,2,0,5,2,2,6,0,3,8,0,0,4,26,0,0,0,0,2,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,11,0,3,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,34,10,0,1,3,0,5,0,4,8,0,27,2,0,0,233,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,3,4,0,0,10,4,0,11,237,2,4,515,0,0,0,0,0,0,29,0,37,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,2,0,45,2,0,0,2,0,0,3,0,0,0,0,0,0,5,0,0,0,6,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,2,0,0,2,1,0,5,0,0,0,20,0,0,0,0,0,2,0,2,4,0,0,0,9,0,0,0,0,0,0,2,0,3,0,0,0,0,0,34,0,0,0,0,0,6,0,6,0,0,2,0,11,0,154,0,2,0,2,0,7,0,4,0,4,27,0,10,0,0,4,0,0,0,5,54,0,2,48,0,0,2,13,0,0,0,0,0,2,0,8,2,8,0,0,0,67,13,15,0,0,0,2,28,0,4,2,2,0,2,0,0,0,12,0,0,0,0,0,0,0,48,231,44,4,0,0,0,3,0,8,0,0,2,43,4,2,37,0,0,2,180,2,0,3,0,0,0
Veillonella,0,0,0,0,0,0,45,4,0,0,2,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,4,0,12,0,0,0,0,15,0,0,0,0,0,0,0,21,0,0,0,0,24,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,297,0,0,0,9,0,0,0,6,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14,0,0,0,0,0,91,0,0,0,0,0,0,262,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,4,56,4,0,0,0,0,0,4,0,0,0,0,0,0
Peptostreptococcus,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,398,0,3,6,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,13,32,0,0,0,2,10,0,0,0,7,0,0,0,0,0,0,0,0,7,193,35,0,0,0,0,0,0,0,0,0,0,0,10,2,7,6,33,66,22,66,0,0,0,2,0,16,34,7,96,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,94,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,9,0,78,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,33,0,2,0,2,0,0,0,0,0,0,0,35,0,0,218,1,0,0,6,19,0,0,0,0,0,2
Gardnerella,0,0,0,0,9,0,2,2,0,0,0,5,0,32,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,8,13,0,0,0,0,0,0,20,9,0,0,25,0,15,9,0,18,8,25,0,4,11,10,0,0,0,0,0,0,0,0,7,56,16,0,0,0,10,0,7,0,20,5,0,0,52,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,24,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,19,0,0,0,0,11,0,0,0,6,0,0,5,0,3,0,0,0,0,0,97,6,0,0,0,0,0,0,22,3,0,0,19,0,8,6,0,7,9,0,0,0,30,14,0,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,46,0,2,4,0,0,0,0,0,0,8,13,0,0,0,0,0,2,0,0,13,0,0,0,4,0,0,14,0,0,0,0,2,14,2,0,9,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,7,0,0,5,0,0,0,3,4,0,2,0,9,0,27,0,0,1,0,0,0,0,0,5,0,2,0,10,0,0,0,0,0,5,5,6,0,3,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,6,0,0,0,10,11,21,0,0,3,0,3,0,0,0,0,0,2,4,0,2,7,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,2,0,435,0,0,0,0,0,0,0,0,0,0,47,0,4,0,0,0,0,0,0,6,0,0,0,0
Bacteroides,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,11,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,222,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,2,0,105,0,0,0,0,3,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,8,0,0,4,20,7,0,0,0,0,0
Mobiluncus,0,0,0,0,0,0,0,24,0,0,2,2,0,0,0,0,0,0,0,0,1,0,3,0,10,0,0,0,0,97,20,0,0,0,0,0,0,0,2,0,0,15,0,6,4,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,58,0,0,44,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,19,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,8,0,0,2,0,0,7,13,0,4,2,8,0,0,0,0,3,5,19,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,121,0,0,40,3,40,30,21,0,0,0,11,0,0,5,0,67,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,215,0,0,0,10,0,19,0,0,0,0,42,0,0,0,0,0,127,0,4,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,10,15,0,0,0,0,0,0
Porphyromonas,0,0,0,0,0,0,0,17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,70,0,3,0,0,0,6,0,0,43,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,0,0,0,0,0,31,1,0,0,0,2,0,0,2,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,61,10,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,4,0,0,6,0,52,2,7,34,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,2,53,0,0,23,7,40,26,345,0,0,0,15,0,0,0,0,67,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,48,2,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,24,4,0,0,0,0,0,0
Gemella,0,0,0,0,3,0,2,7,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,11,0,0,0,0,7,1,0,0,0,0,0,0,20,0,4,2,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,8,0,9,0,0,10,4,4,6,0,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,27,0,0,0,26,0,0,0,0,0,0,18,87,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,8,0,0,7,2,0,0,0,0,2,0,0,0,1,0,2,4,0,0,2,8,0,4,0,0,0,0,0,15,0,5,13,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,11,2,9,0,0,3,2,0,26,0,0,0,0,8,0,0,0,0,10,17,0,38,2,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,2,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,8,0,0,2,0,0,32,0,0,0,0
Pasteurella,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,0,0,0,0,4,0,37,2,2,0,5,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,12,0,45,0,0,0,13,0,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,7,0,0,0,2,4,2,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,4,0,16,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,49,76,0,0,2,0,0,0
